"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_14576","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","2","0","2","0.5","0.5"
"group_14577","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","2","0","2","0.5","0.5"
"group_14587","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","2","0","2","0.5","0.5"
"group_14797","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","2","0","2","0.5","0.5"
"group_14799","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","2","0","2","0.5","0.5"
"group_14802","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","2","0","2","0.5","0.5"
"group_15455","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","3","0","3","0.25","0.25"
"group_16193","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","3","0","3","0.25","0.25"
"group_16196","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","3","0","3","0.25","0.25"
"group_16296","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","3","0","3","0.25","0.25"
"group_5154","","hypothetical protein","13","8","166","21","7.262569832402235","72.41379310344827","0.2055722891566265","0.003143260775057932","1.0","1.0","8","5","4","0.7265625000000002","1.0"
"group_7727","","hypothetical protein","4","5","175","24","2.2346368715083798","82.75862068965517","0.10971428571428571","0.003194967572376869","1.0","1.0","3","2","2","1.0","1.0"
"group_7809","","hypothetical protein","4","5","175","24","2.2346368715083798","82.75862068965517","0.10971428571428571","0.003194967572376869","1.0","1.0","6","2","4","0.6875000000000002","0.6875000000000002"
"bm3R1","","hypothetical protein","39","0","140","29","21.787709497206702","100.0","inf","0.003348345495911442","1.0","1.0","10","10","0","0.001953125","0.001953125"
"ganB","","Arabinogalactan endo-beta-1,4-galactanase","36","0","143","29","20.11173184357542","100.0","inf","0.0033596128094044077","1.0","1.0","9","9","0","0.00390625","0.00390625"
"group_5436","","hypothetical protein","10","7","169","22","5.58659217877095","75.86206896551724","0.18596787827557057","0.0036301912802569817","1.0","1.0","6","6","2","0.03125","0.6875000000000002"
"asD","","Bifunctional aspartate aminotransferase and L-aspartate beta-decarboxylase","10","7","169","22","5.58659217877095","75.86206896551724","0.18596787827557057","0.0036301912802569817","1.0","1.0","13","10","7","0.09228515625000003","0.9999999999999999"
"group_5586","","hypothetical protein","10","7","169","22","5.58659217877095","75.86206896551724","0.18596787827557057","0.0036301912802569817","1.0","1.0","6","6","2","0.03125","0.6875000000000002"
"sgrR_4","","HTH-type transcriptional regulator SgrR","7","6","172","23","3.910614525139665","79.3103448275862","0.1560077519379845","0.0037818517336267684","1.0","1.0","6","1","5","0.21875000000000003","0.21875000000000003"
"group_6909","","hypothetical protein","7","6","172","23","3.910614525139665","79.3103448275862","0.1560077519379845","0.0037818517336267684","1.0","1.0","3","2","2","1.0","1.0"
"group_7214","","hypothetical protein","7","6","172","23","3.910614525139665","79.3103448275862","0.1560077519379845","0.0037818517336267684","1.0","1.0","3","2","1","1.0","1.0"
"group_10156","","hypothetical protein","2","4","177","25","1.1173184357541899","86.20689655172413","0.07062146892655367","0.0038258701435881547","1.0","1.0","2","1","2","0.5","1.0"
"group_10159","","hypothetical protein","2","4","177","25","1.1173184357541899","86.20689655172413","0.07062146892655367","0.0038258701435881547","1.0","1.0","2","1","2","0.5","1.0"
"group_11490","","hypothetical protein","2","4","177","25","1.1173184357541899","86.20689655172413","0.07062146892655367","0.0038258701435881547","1.0","1.0","3","2","2","1.0","1.0"
"group_6911","","hypothetical protein","2","4","177","25","1.1173184357541899","86.20689655172413","0.07062146892655367","0.0038258701435881547","1.0","1.0","5","2","3","1.0","1.0"
"group_9828","","hypothetical protein","2","4","177","25","1.1173184357541899","86.20689655172413","0.07062146892655367","0.0038258701435881547","1.0","1.0","5","2","4","0.375","1.0"
"bfr_2","","Bacterioferritin","157","19","22","10","87.70949720670392","34.48275862068966","3.7559808612440193","0.004750280673732028","1.0","1.0","14","8","9","0.4239501953124999","0.7905273437500004"
"group_5589","","hypothetical protein","11","7","168","22","6.145251396648044","75.86206896551724","0.20578231292517007","0.0053571337864317435","1.0","1.0","3","1","2","1.0","1.0"
"blaI","","hypothetical protein","35","0","144","29","19.553072625698324","100.0","inf","0.0057184765805789175","1.0","1.0","6","6","0","0.03125","0.03125"
"group_7565","","hypothetical protein","5","5","174","24","2.793296089385475","82.75862068965517","0.13793103448275862","0.005758207415712771","1.0","1.0","3","2","2","1.0","1.0"
"group_7571","","hypothetical protein","5","5","174","24","2.793296089385475","82.75862068965517","0.13793103448275862","0.005758207415712771","1.0","1.0","2","2","1","0.5","1.0"
"group_7582","","hypothetical protein","5","5","174","24","2.793296089385475","82.75862068965517","0.13793103448275862","0.005758207415712771","1.0","1.0","5","3","2","1.0","1.0"
"group_7767","","hypothetical protein","5","5","174","24","2.793296089385475","82.75862068965517","0.13793103448275862","0.005758207415712771","1.0","1.0","6","3","3","1.0","1.0"
